country,date,director,film,rate,stars
USA,18 December 1985 ,Terry Gilliam,Brazil,7.9,"Jonathan Pryce,Kim Greist,Robert De Niro"
USA,16 April 2004 ,Quentin Tarantino,Kill Bill: Vol. 2,8.0,"Uma Thurman,David Carradine,Michael Madsen"
USA,21 November 1931 ,James Whale,Frankenstein,7.8,"Colin Clive,Mae Clarke,Boris Karloff"
USA,4 October 1968 ,George A. Romero,Night of the Living Dead,7.9,"Duane Jones,Judith O'Dea,Karl Hardman"
USA,22 November 2013 ,Jean-Marc Vallée,Dallas Buyers Club,8.0,"Matthew McConaughey,Jennifer Garner,Jared Leto"
USA,3 June 1929 ,F.W. Murnau,Nosferatu,7.9,"Max Schreck,Alexander Granach,Gustav von Wangenheim"
USA,21 November 1990 ,Kevin Costner,Dances with Wolves,8.0,"Kevin Costner,Mary McDonnell,Graham Greene"
USA,3 April 1968 ,Franklin J. Schaffner,Planet of the Apes,8.0,"Charlton Heston,Roddy McDowall,Kim Hunter"
USA,17 November 2006 ,Martin Campbell,Casino Royale,8.0,"Daniel Craig,Eva Green,Judi Dench"
USA,19 October 2001 ,David Lynch,Mulholland Drive,8.0,"Naomi Watts,Laura Harring,Justin Theroux"
USA,8 May 2009 ,J.J. Abrams,Star Trek,7.9,"Chris Pine,Zachary Quinto,Simon Pegg"
USA,24 May 1979 ,George A. Romero,Dawn of the Dead,7.9,"David Emge,Ken Foree,Scott H. Reiniger"
USA,25 December 2008 ,Danny Boyle,Slumdog Millionaire,8.0,"Dev Patel,Freida Pinto,Saurabh Shukla"
USA,10 January 2014 ,Spike Jonze,Her,8.0,"Joaquin Phoenix,Amy Adams,Scarlett Johansson"
USA,22 November 1991 ,Gary Trousdale,Beauty and the Beast,8.0,"Paige O'Hara,Robby Benson,Jesse Corti"
USA,25 November 1992 ,Ron Clements,Aladdin,8.0,"Scott Weinger,Robin Williams,Linda Larkin"
USA,29 June 2007 ,Brad Bird,Ratatouille,8.0,"Brad Garrett,Lou Romano,Patton Oswalt"
USA,25 September 1948 ,Alfred Hitchcock,Rope,8.0,"James Stewart,John Dall,Farley Granger"
USA,21 November 2012 ,Ang Lee,Life of Pi,7.9,"Suraj Sharma,Irrfan Khan,Adil Hussain"
USA,17 August 1979 ,Terry Jones,Monty Python's Life of Brian,8.1,"Graham Chapman,John Cleese,Michael Palin"
USA,2 November 2001 ,Pete Docter,"Monsters, Inc.",8.0,"Billy Crystal,John Goodman,Mary Gibbs"
USA,7 January 2000 ,Paul Thomas Anderson,Magnolia,8.0,"Tom Cruise,Jason Robards,Julianne Moore"
USA,9 March 2001 ,Kar-Wai Wong,In the Mood for Love,8.1,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu"
USA,24 June 1963 ,Federico Fellini,8½,8.0,"Marcello Mastroianni,Anouk Aimée,Claudia Cardinale"
USA,20 April 1977 ,Woody Allen,Annie Hall,8.0,"Woody Allen,Diane Keaton,Tony Roberts"
USA,30 July 2004 ,Richard Linklater,Before Sunset,8.0,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
USA,27 January 1995 ,Richard Linklater,Before Sunrise,8.1,"Ethan Hawke,Julie Delpy,Andrea Eckert"
USA,4 March 2005 ,Alejandro Amenábar,The Sea Inside,8.0,"Javier Bardem,Belén Rueda,Lola Dueñas"
Netherlands,22 January 1976 ,Terry Gilliam,Monty Python and the Holy Grail,8.2,"Graham Chapman,John Cleese,Eric Idle"
Netherlands,21 December 1961 ,Stanley Kramer,Judgment at Nuremberg,8.2,"Spencer Tracy,Burt Lancaster,Richard Widmark"
USA,25 March 1956 ,Akira Kurosawa,Ikiru,8.3,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori"
USA,22 June 1959 ,Ingmar Bergman,Wild Strawberries,8.2,"Victor Sjöström,Bibi Andersson,Ingrid Thulin"
USA,30 March 2007 ,Florian Henckel von Donnersmarck,The Lives of Others,8.4,"Ulrich Mühe,Martina Gedeck,Sebastian Koch"
USA,14 August 2009 ,Neill Blomkamp,District 9,7.9,"Sharlto Copley,David James,Jason Cope"
USA,8 January 1993 ,Martin Brest,Scent of a Woman,8.0,"Al Pacino,Chris O'Donnell,James Rebhorn"
USA,15 October 2003 ,Clint Eastwood,Mystic River,7.9,"Sean Penn,Tim Robbins,Kevin Bacon"
USA,24 September 2004 ,Edgar Wright,Shaun of the Dead,7.9,"Simon Pegg,Nick Frost,Kate Ashfield"
USA,20 January 2012 ,Michel Hazanavicius,The Artist,7.9,"Jean Dujardin,Bérénice Bejo,John Goodman"
Netherlands,6 October 1960 ,William Wyler,Ben-Hur,8.1,"Charlton Heston,Jack Hawkins,Stephen Boyd"
USA,17 December 2010 ,Darren Aronofsky,Black Swan,8.0,"Natalie Portman,Mila Kunis,Vincent Cassel"
USA,27 November 1976 ,Sidney Lumet,Network,8.1,"Faye Dunaway,William Holden,Peter Finch"
USA,26 December 1973 ,William Friedkin,The Exorcist,8.0,"Ellen Burstyn,Max von Sydow,Linda Blair"
USA,25 December 2010 ,Tom Hooper,The King's Speech,8.0,"Colin Firth,Geoffrey Rush,Helena Bonham Carter"
USA,11 June 1993 ,Steven Spielberg,Jurassic Park,8.1,"Sam Neill,Laura Dern,Jeff Goldblum"
USA,25 January 2008 ,Paul Thomas Anderson,There Will Be Blood,8.2,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds"
USA,6 June 1956 ,Stanley Kubrick,The Killing,8.0,"Sterling Hayden,Coleen Gray,Vince Edwards"
USA,15 March 1940 ,John Ford,The Grapes of Wrath,8.0,"Henry Fonda,Jane Darwell,John Carradine"
USA,20 June 1975 ,Steven Spielberg,Jaws,8.0,"Roy Scheider,Robert Shaw,Richard Dreyfuss"
Netherlands,3 March 1983 ,Ingmar Bergman,Fanny and Alexander,8.1,"Bertil Guve,Pernilla Allwin,Kristina Adolphson"
USA,10 August 2011 ,Tate Taylor,The Help,8.1,"Emma Stone,Viola Davis,Octavia Spencer"
Germany,27 February 1920 ,Robert Wiene,The Cabinet of Dr. Caligari,8.1,"Werner Krauss,Conrad Veidt,Friedrich Feher"
USA,23 February 1996 ,Mathieu Kassovitz,La Haine,8.1,"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui"
USA,26 November 1986 ,Rob Reiner,Stand by Me,8.1,"Wil Wheaton,River Phoenix,Corey Feldman"
USA,6 May 1988 ,Wim Wenders,Wings of Desire,8.0,"Bruno Ganz,Solveig Dommartin,Otto Sander"
USA,25 February 1994 ,Jim Sheridan,In the Name of the Father,8.1,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie"
Netherlands,9 September 2004 ,Andrew Lau,Infernal Affairs,8.0,"Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong"
Brazil,10 August 1953 ,Billy Wilder,Stalag 17,8.0,"William Holden,Don Taylor,Otto Preminger"
USA,28 January 2005 ,Clint Eastwood,Million Dollar Baby,8.1,"Hilary Swank,Clint Eastwood,Morgan Freeman"
USA,9 October 1987 ,Rob Reiner,The Princess Bride,8.1,"Cary Elwes,Mandy Patinkin,Robin Wright"
USA,18 January 1967 ,Sergio Leone,A Fistful of Dollars,8.0,"Clint Eastwood,Gian Maria Volontè,Marianne Koch"
USA,28 March 2014 ,Wes Anderson,The Grand Budapest Hotel,8.1,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric"
USA,15 June 2001 ,Ashutosh Gowariker,Lagaan: Once Upon a Time in India,8.1,"Aamir Khan,Raghuvir Yadav,Gracy Singh"
USA,12 April 1940 ,Alfred Hitchcock,Rebecca,8.1,"Laurence Olivier,Joan Fontaine,George Sanders"
Netherlands,9 March 2012 ,Sujoy Ghosh,Kahaani,8.1,"Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta"
USA,14 December 1957 ,David Lean,The Bridge on the River Kwai,8.1,"William Holden,Alec Guinness,Jack Hawkins"
Netherlands,30 January 1948 ,William Wyler,The Best Years of Our Lives,8.0,"Myrna Loy,Dana Andrews,Fredric March"
USA,30 May 2003 ,Andrew Stanton,Finding Nemo,8.1,"Albert Brooks,Ellen DeGeneres,Alexander Gould"
Netherlands,1 September 2011 ,Adam Elliot,Mary and Max,8.1,"Toni Collette,Philip Seymour Hoffman,Eric Bana"
USA,17 January 1940 ,Victor Fleming,Gone with the Wind,8.1,"Clark Gable,Vivien Leigh,Thomas Mitchell"
Netherlands,10 February 2011 ,Denis Villeneuve,Incendies,8.3,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette"
Netherlands,30 October 2014 ,Damián Szifron,Wild Tales,8.1,"Darío Grandinetti,María Marull,Mónica Villa"
USA,16 November 1959 ,François Truffaut,The 400 Blows,8.1,"Jean-Pierre Léaud,Albert Rémy,Claire Maurier"
USA,18 October 1941 ,John Huston,The Maltese Falcon,8.0,"Humphrey Bogart,Mary Astor,Gladys George"
Netherlands,17 April 1980 ,Andrei Tarkovsky,Stalker,8.2,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn"
USA,29 May 1954 ,Alfred Hitchcock,Dial M for Murder,8.2,"Ray Milland,Grace Kelly,Robert Cummings"
USA,4 February 2005 ,Terry George,Hotel Rwanda,8.1,"Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
USA,17 June 2005 ,Hayao Miyazaki,Howl's Moving Castle,8.2,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin"
Netherlands,18 July 1963 ,David Lean,Lawrence of Arabia,8.3,"Peter O'Toole,Alec Guinness,Anthony Quinn"
USA,4 November 1927 ,F.W. Murnau,Sunrise,8.1,"George O'Brien,Janet Gaynor,Margaret Livingston"
USA,13 December 1949 ,Vittorio De Sica,Bicycle Thieves,8.3,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell"
India,5 September 2008 ,Neeraj Pandey,A Wednesday,8.1,"Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill"
USA,27 October 1950 ,Joseph L. Mankiewicz,All About Eve,8.2,"Bette Davis,Anne Baxter,George Sanders"
Netherlands,22 October 2009 ,Levent Semerci,De ademtocht,8.0,"Mete Horozoglu,Ilker Kizmaz,Baris Bagci"
USA,5 January 1996 ,Terry Gilliam,12 Monkeys,8.0,"Bruce Willis,Madeleine Stowe,Brad Pitt"
USA,26 October 1984 ,James Cameron,The Terminator,8.0,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn"
USA,12 February 1993 ,Harold Ramis,Groundhog Day,8.0,"Bill Murray,Andie MacDowell,Chris Elliott"
USA,1 April 2005 ,Frank Miller,Sin City,8.0,"Mickey Rourke,Clive Owen,Bruce Willis"
USA,21 November 2007 ,Ethan Coen,No Country for Old Men,8.1,"Tommy Lee Jones,Javier Bardem,Josh Brolin"
USA,13 April 2001 ,Alejandro G. Iñárritu,Amores Perros,8.1,"Emilio Echevarría,Gael García Bernal,Goya Toledo"
USA,8 November 2013 ,Steve McQueen,12 Years a Slave,8.1,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender"
South,2 May 2003 ,Bong Joon Ho,Memories of Murder,8.1,"Kang-ho Song,Sang-kyung Kim,Roe-ha Kim"
USA,1 August 2014 ,James Gunn,Guardians of the Galaxy,8.0,"Chris Pratt,Vin Diesel,Bradley Cooper"
USA,16 February 1955 ,Henri-Georges Clouzot,The Wages of Fear,8.1,"Yves Montand,Charles Vanel,Peter van Eyck"
India,10 August 2001 ,Farhan Akhtar,Dil Chahta Hai,8.1,"Aamir Khan,Saif Ali Khan,Akshaye Khanna"
Netherlands,14 September 2012 ,Anurag Basu,Barfi!,8.1,"Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz"
USA,22 November 1961 ,Akira Kurosawa,Throne of Blood,8.1,"Toshirô Mifune,Minoru Chiaki,Isuzu Yamada"
USA,16 March 1967 ,Ingmar Bergman,Persona,8.1,"Bibi Andersson,Liv Ullmann,Margaretha Krook"
Netherlands,23 January 1959 ,Orson Welles,Touch of Evil,8.0,"Charlton Heston,Orson Welles,Janet Leigh"
USA,21 November 1955 ,Henri-Georges Clouzot,Diabolique,8.0,"Simone Signoret,Véra Clouzot,Paul Meurisse"
USA,21 May 2010 ,Juan José Campanella,The Secret in Their Eyes,8.2,"Ricardo Darín,Soledad Villamil,Pablo Rago"
USA,3 October 2014 ,David Fincher,Gone Girl,8.1,"Ben Affleck,Rosamund Pike,Neil Patrick Harris"
USA,26 March 2010 ,Dean DeBlois,How to Train Your Dragon,8.1,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse"
USA,25 June 1982 ,John Carpenter,The Thing,8.1,"Kurt Russell,Wilford Brimley,Keith David"
USA,9 August 1996 ,Danny Boyle,Trainspotting,8.1,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller"
USA,23 February 1979 ,Michael Cimino,The Deer Hunter,8.1,"Robert De Niro,Christopher Walken,John Cazale"
USA,25 June 1982 ,Ridley Scott,Blade Runner,8.1,"Harrison Ford,Rutger Hauer,Sean Young"
USA,22 February 1934 ,Frank Capra,It Happened One Night,8.1,"Clark Gable,Claudette Colbert,Walter Connolly"
USA,6 March 1998 ,Joel Coen,The Big Lebowski,8.1,"Jeff Bridges,John Goodman,Julianne Moore"
South,27 July 2001 ,Jae-young Kwak,My Sassy Girl,8.0,"Tae-Hyun Cha,Ji-Hyun Jun,In-mun Kim"
USA,19 January 2007 ,Guillermo del Toro,Pan's Labyrinth,8.2,"Ivana Baquero,Ariadna Gil,Sergi López"
USA,1 November 1967 ,Stuart Rosenberg,Cool Hand Luke,8.1,"Paul Newman,George Kennedy,Strother Martin"
USA,9 September 2011 ,Gavin O'Connor,Warrior,8.2,"Tom Hardy,Nick Nolte,Joel Edgerton"
USA,15 May 2015 ,George Miller,Mad Max: Fury Road,8.1,"Tom Hardy,Charlize Theron,Nicholas Hoult"
USA,13 March 1972 ,Yasujirô Ozu,Tokyo Story,8.2,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura"
USA,13 July 1990 ,Hayao Miyazaki,My Neighbor Totoro,8.2,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto"
USA,9 January 1998 ,Gus Van Sant,Good Will Hunting,8.3,"Robin Williams,Matt Damon,Ben Affleck"
Netherlands,20 February 1986 ,Akira Kurosawa,Ran,8.2,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu"
Netherlands,25 October 2012 ,Thomas Vinterberg,The Hunt,8.3,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp"
USA,13 October 1958 ,Ingmar Bergman,The Seventh Seal,8.2,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot"
USA,20 June 1974 ,Roman Polanski,Chinatown,8.2,"Jack Nicholson,Faye Dunaway,John Huston"
USA,4 July 1963 ,John Sturges,The Great Escape,8.2,"Steve McQueen,James Garner,Richard Attenborough"
USA,8 April 2005 ,Oliver Hirschbiegel,Downfall,8.2,"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes"
Australia,29 September 1950 ,Billy Wilder,Sunset Blvd.,8.4,"William Holden,Gloria Swanson,Erich von Stroheim"
USA,14 December 2012 ,Peter Jackson,The Hobbit: An Unexpected Journey,7.8,"Martin Freeman,Ian McKellen,Richard Armitage"
Japan,17 June 2006 ,Shûsuke Kaneko,Death Note,7.7,"Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto"
USA,16 December 1988 ,Barry Levinson,Rain Man,8.0,"Dustin Hoffman,Tom Cruise,Valeria Golino"
USA,9 January 2004 ,Tim Burton,Big Fish,8.0,"Ewan McGregor,Albert Finney,Billy Crudup"
USA,8 December 2006 ,Edward Zwick,Blood Diamond,8.0,"Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly"
USA,29 February 2008 ,Martin McDonagh,In Bruges,7.9,"Colin Farrell,Brendan Gleeson,Ciarán Hinds"
USA,3 June 2005 ,Ron Howard,Cinderella Man,8.0,"Russell Crowe,Renée Zellweger,Craig Bierko"
USA,9 January 2009 ,Clint Eastwood,Gran Torino,8.1,"Clint Eastwood,Bee Vang,Christopher Carley"
USA,10 July 2009 ,Duncan Jones,Moon,7.9,"Sam Rockwell,Kevin Spacey,Dominique McElligott"
USA,22 November 1995 ,Martin Scorsese,Casino,8.2,"Robert De Niro,Sharon Stone,Joe Pesci"
Netherlands,12 November 1998 ,Guy Ritchie,"Lock, Stock and Two Smoking Barrels",8.2,"Jason Flemyng,Dexter Fletcher,Nick Moran"
USA,5 April 1996 ,Joel Coen,Fargo,8.1,"William H. Macy,Frances McDormand,Steve Buscemi"
USA,25 December 2013 ,Martin Scorsese,The Wolf of Wall Street,8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie"
USA,19 March 1959 ,Billy Wilder,Some Like It Hot,8.2,"Marilyn Monroe,Tony Curtis,Jack Lemmon"
USA,10 May 1967 ,Sergio Leone,For a Few Dollars More,8.3,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè"
USA,13 March 1927 ,Fritz Lang,Metropolis,8.3,"Brigitte Helm,Alfred Abel,Gustav Fröhlich"
Brazil,13 July 1925 ,Charles Chaplin,The Gold Rush,8.2,"Charles Chaplin,Mack Swain,Tom Murray"
USA,11 May 1924 ,Buster Keaton,Sherlock Jr.,8.2,"Buster Keaton,Kathryn McGuire,Joe Keaton"
USA,29 May 2009 ,Pete Docter,Up,8.2,"Edward Asner,Jordan Nagai,John Ratzenberger"
Japan,22 June 1954 ,Elia Kazan,On the Waterfront,8.1,"Marlon Brando,Karl Malden,Lee J. Cobb"
France,12 October 1949 ,Carol Reed,The Third Man,8.1,"Orson Welles,Joseph Cotten,Alida Valli"
France,16 September 1960 ,Billy Wilder,The Apartment,8.3,"Jack Lemmon,Shirley MacLaine,Fred MacMurray"
USA,10 July 1987 ,Stanley Kubrick,Full Metal Jacket,8.3,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio"
USA,15 December 1995 ,Michael Mann,Heat,8.2,"Al Pacino,Robert De Niro,Val Kilmer"
USA,19 September 1984 ,Milos Forman,Amadeus,8.3,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge"
USA,13 September 1961 ,Akira Kurosawa,Yojimbo,8.2,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai"
USA,26 December 1951 ,Akira Kurosawa,Rashomon,8.2,"Toshirô Mifune,Machiko Kyô,Masayuki Mori"
USA,19 October 1939 ,Frank Capra,Mr. Smith Goes to Washington,8.1,"James Stewart,Jean Arthur,Claude Rains"
USA,21 August 2009 ,Quentin Tarantino,Inglourious Basterds,8.3,"Brad Pitt,Diane Kruger,Eli Roth"
USA,2 January 1927 ,Clyde Bruckman,The General,8.1,"Buster Keaton,Marion Mack,Glen Cavender"
USA,7 August 1992 ,Clint Eastwood,Unforgiven,8.2,"Clint Eastwood,Gene Hackman,Morgan Freeman"
USA,25 December 1973 ,George Roy Hill,The Sting,8.3,"Paul Newman,Robert Redford,Robert Shaw"
USA,22 November 1995 ,John Lasseter,Toy Story,8.3,"Tom Hanks,Tim Allen,Don Rickles"
USA,26 January 2006 ,Rakeysh Omprakash Mehra,Rang De Basanti,8.2,"Aamir Khan,Soha Ali Khan,Siddharth"
USA,11 April 1952 ,Stanley Donen,Singin' in the Rain,8.3,"Gene Kelly,Donald O'Connor,Debbie Reynolds"
USA,5 September 1941 ,Orson Welles,Citizen Kane,8.3,"Orson Welles,Joseph Cotten,Dorothy Comingore"
USA,23 January 1943 ,Michael Curtiz,Casablanca,8.5,"Humphrey Bogart,Ingrid Bergman,Paul Henreid"
USA,6 February 1987 ,Oliver Stone,Platoon,8.1,"Charlie Sheen,Tom Berenger,Willem Dafoe"
USA,19 December 1973 ,Franklin J. Schaffner,Papillon,8.0,"Steve McQueen,Dustin Hoffman,Victor Jory"
USA,3 December 1976 ,John G. Avildsen,Rocky,8.1,"Sylvester Stallone,Talia Shire,Burt Young"
USA,10 October 2003 ,Quentin Tarantino,Kill Bill: Vol. 1,8.1,"Uma Thurman,David Carradine,Daryl Hannah"
USA,5 June 1998 ,Peter Weir,The Truman Show,8.1,"Jim Carrey,Ed Harris,Laura Linney"
USA,19 September 1997 ,Curtis Hanson,L.A. Confidential,8.2,"Kevin Spacey,Russell Crowe,Guy Pearce"
USA,19 January 2001 ,Guy Ritchie,Snatch,8.3,"Jason Statham,Brad Pitt,Benicio Del Toro"
USA,24 January 1948 ,John Huston,The Treasure of the Sierra Madre,8.2,"Humphrey Bogart,Walter Huston,Tim Holt"
USA,16 March 1963 ,Robert Mulligan,To Kill a Mockingbird,8.2,"Gregory Peck,John Megna,Frank Overton"
USA,6 February 1921 ,Charles Chaplin,The Kid,8.3,"Charles Chaplin,Edna Purviance,Jackie Coogan"
Netherlands,18 December 1959 ,Alfred Hitchcock,North by Northwest,8.3,"Cary Grant,Eva Marie Saint,James Mason"
USA,6 February 1958 ,Billy Wilder,Witness for the Prosecution,8.4,"Tyrone Power,Marlene Dietrich,Charles Laughton"
USA,1 June 1984 ,Sergio Leone,Once Upon a Time in America,8.4,"Robert De Niro,James Woods,Elizabeth McGovern"
USA,6 July 1944 ,Billy Wilder,Double Indemnity,8.3,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson"
Netherlands,3 February 1959 ,Alfred Hitchcock,Vertigo,8.3,"James Stewart,Kim Novak,Barbara Bel Geddes"
USA,10 February 1982 ,Wolfgang Petersen,Das Boot,8.3,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann"
